Column1,Column2,Column3,Column4,Column5,Column6,Column7
平和,peace,へいわ,,,item:488205,item
日,day,ひ,,,item:730660,item
島,island,しま,,,item:845787,item
全体の,whole; entire; general,ぜんたいの,,,item:956844,item
25分の1 / 21分の1,one twenty-fifth/one twenty-first,25ぶんの1 / 21ぶんの 1,,,item:956851,item
伝える,to pass (knowledge) on; tell; inform,つたえる,,,item:956865,item
名物,well-known product; local specialty,めいぶつ,,,item:957127,item
特別な,special; particular,とくべつな,,,item:957129,item
行う,to conduct; carry out,おこなう,,,item:957130,item
初め,the beginning,はじめ,,,item:957142,item
気温,(atmospheric) temperature,きおん,,,item:964355,item
差,gap; difference,さ,,,item:964357,item
名所,famous place; place of interest,めいしょ,,,item:964360,item
最も,most; extremely,もっとも,,,item:964362,item
残る,to remain; be left over,のこる,,,item:964365,item
形,shape; appearance,かたち,,,item:964367,item
特に,"specially, especially; particularly",とくに,,,item:964382,item
市,city; town,し,,,item:964384,item
選ぶ,to choose; select,えらぶ,,,item:964419,item
見学,visit; tour (of a place),けんがく,,,item:964433,item
昔話,old tale,むかしばなし,,,item:964436,item
- 達,[plural marker for people],-たち,,,item:964457,item
美しい,Beautiful,うつくしい,,,item:966791,item
友達,friend,ともだち,,,item:1031226,item
建物,building,たてもの,,,item:1046464,item
人々,people,ひとびと,,,item:1056743,item
楽しむ,To enjoy,たのしむ,,,item:1056744,item
目的,purpose,もくてき,,,item:1056748,item
地方,Region; area; country,ちほう,,,item:1056756,item
行事,event,ぎょうじ,,,item:1056757,item
年,year,とし,,,item:1056758,item
気持ち,"feeling, sensation, mood",きもち,,,item:1056760,item
地図,map,ちず,,,item:1056763,item
小説,novel,しょうせつ,,,item:1056764,item
決まる,to be decided,きまる,,,item:1056765,item
分かる,to understand,わかる,,,item:1056766,item
覚える,to memorize,おぼえる,,,item:1056768,item
色々な,various,いろいろな,,,item:1118693,item
平和,peace,へいわ,,,item:488205,item
お城,castle,おしろ,,,item:567856,item
日,day,ひ,,,item:730660,item
階,floor,かい,,,item:770226,item
島,island,しま,,,item:845787,item
大きな,big; large [used only as a noun modifier],おおきな,,,item:956823,item
都市,city,とし,,,item:956831,item
北海道,Hokkaido [Japan's northernmost island],ほっかいどう,,,item:956834,item
本州,Honshu [Japan's largest island],ほんしゅう,,,item:956836,item
四国,Shikoku [the smallest of Japan's four major islands],しこく,,,item:956840,item
九州,Kyushu [the third largest of Japan's four major islands],きゅうしゅう,,,item:956841,item
全体の,whole; entire; general,ぜんたいの,,,item:956844,item
都/道/府/県,prefecture [the largest administrative unit in Japan],と/どう/ふ/けん,,,item:956859,item
首都,capital (city),しゅと,,,item:956861,item
戦争,war,せんそう,,,item:956863,item
伝える,to pass (knowledge) on; tell; inform,つたえる,,,item:956865,item
気温,(atmospheric) temperature,きおん,,,item:964355,item
差,gap; difference,さ,,,item:964357,item
桜,cherry blossoms,さくら,,,item:964358,item
終わり,the end,おわり,,,item:964359,item
名所,famous place; place of interest,めいしょ,,,item:964360,item
例えば,for instance; for example,たとえば,,,item:964361,item
最も,most; extremely,もっとも,,,item:964362,item
- 前,"(year, days, etc.) ago",まえ,,,item:964363,item
残る,to remain; be left over,のこる,,,item:964365,item
形,shape; appearance,かたち,,,item:964367,item
撮影,"filming; shooting (of a movie, a photograph, etc.)",さつえい,,,item:964370,item
リラックス,relax,リラックス,,,item:964375,item
景色,scenery; view,けしき,,,item:964378,item
特に,"specially, especially; particularly",とくに,,,item:964382,item
市,city; town,し,,,item:964384,item
見学,visit; tour (of a place),けんがく,,,item:964387,item
美しい,Beautiful,うつくしい,,,item:966791,item
建物,building,たてもの,,,item:1046464,item
地理,geography,ちり,,,item:1056735,item
皆さん,everyone,みなさん,,,item:1056736,item
大陸,continent,たいりく,,,item:1056737,item
気候,climate,きこう,,,item:1056741,item
人々,people,ひとびと,,,item:1056743,item
楽しむ,To enjoy,たのしむ,,,item:1056744,item
壁,wall,かべ,,,item:1056745,item
観光,sightseeing,かんこう,,,item:1056747,item
目的,purpose,もくてき,,,item:1056748,item
専門,one's specialization; one's specialized field,せんもん,,,item:957112,item
関東（地方）,the Kanto Region,かんとう（ ちほう）,,,item:957119,item
関西（地方）,the Kansai Region,かんさい（ ちほう）,,,item:957121,item
入る,to be included; come in; get in; join,はいる,,,item:957123,item
内容,content,ないよう,,,item:957126,item
名物,well-known product; local specialty,めいぶつ,,,item:957127,item
特別な,special; particular,とくべつな,,,item:957129,item
行う,to conduct; carry out,おこなう,,,item:957130,item
-達,[plural marker for people],-たち,,,item:957131,item
絵,picture; painting,え,,,item:957132,item
大変,very; greatly,たいへん,,,item:957135,item
出身,"one's origin (town, country, etc.)",しゅっしん,,,item:957137,item
厳しい,severe; strict; intense,きびしい,,,item:957140,item
初め,the beginning,はじめ,,,item:957142,item
すごい,terrific; amazing,すごい,,,item:964323,item
僕,I [male],ぼく,,,item:964326,item
田舎,countryside; rural area,いなか,,,item:964329,item
お正月,New Year's,おしょうがつ,,,item:964331,item
昔話,old tale,むかしばなし,,,item:964436,item
色々と,a lot; (so) much; many things; all sorts of things,いろいろと,,,item:1051096,item
本当の,true; actual; real,ほんとうの,,,item:1051098,item
伝統的な,traditional,でんとうてきな,,,item:1053549,item
専攻,major,せんこう,,,item:1056754,item
地方,Region; area; country,ちほう,,,item:1056756,item
行事,event,ぎょうじ,,,item:1056757,item
年,year,とし,,,item:1056758,item
自然,nature,しぜん,,,item:1056759,item
気持ち,"feeling, sensation, mood",きもち,,,item:1056760,item
祭り,festival,まつり,,,item:1056761,item
